"date","poll","unit","region_id","process_id","source","timezone","value","region_name","country"
2020-11-29,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-13.6398072038332,"Berlin","DE"
2020-11-28,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-21.2483747479955,"Berlin","DE"
2020-11-27,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-11.6455192398894,"Berlin","DE"
2020-11-26,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-7.63579779826856,"Berlin","DE"
2020-11-25,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-16.2377493118422,"Berlin","DE"
2020-11-24,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-10.0207005710052,"Berlin","DE"
2020-11-23,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-2.76882012654464,"Berlin","DE"
2020-11-22,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-13.9496545029717,"Berlin","DE"
2020-11-21,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-14.7000343760748,"Berlin","DE"
2020-11-20,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-4.95897777391694,"Berlin","DE"
2020-11-19,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-4.37359865454685,"Berlin","DE"
2020-11-18,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-6.67231133696936,"Berlin","DE"
2020-11-17,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-5.70206780765852,"Berlin","DE"
2020-11-16,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-3.83730248403761,"Berlin","DE"
2020-11-15,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-15.7393685007442,"Berlin","DE"
2020-11-14,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-7.49197323104509,"Berlin","DE"
2020-11-13,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-5.82279738286976,"Berlin","DE"
2020-11-12,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-6.73135289426266,"Berlin","DE"
2020-11-11,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-9.17134953911462,"Berlin","DE"
2020-11-10,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-3.25056497950986,"Berlin","DE"
2020-11-09,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-8.0188242012321,"Berlin","DE"
2020-11-08,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-15.2819563826415,"Berlin","DE"
